Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.07, AvgRadius: 8.26, MaxRadius: 8.91, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.91, AvgRadius: 8.28, MaxRadius: 9.22, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 4.40, AvgRadius: 8.29, MaxRadius: 8.80, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 11.96, AvgRadius: 8.28, MaxRadius: 8.54, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 26.23, AvgRadius: 8.27, MaxRadius: 8.50, ViolationRate: 0.0%
Nodes: 2000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 53.23, AvgRadius: 8.23, MaxRadius: 8.50, ViolationRate: 0.0%
Nodes: 1000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.10, AvgRadius: 7.67, MaxRadius: 10.06, ViolationRate: 1.0%
Nodes: 2000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.11, AvgRadius: 7.97, MaxRadius: 10.04, ViolationRate: 1.0%
Nodes: 5000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.17, AvgRadius: 8.11, MaxRadius: 9.22, ViolationRate: 0.0%
Nodes: 10000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.22, AvgRadius: 8.18, MaxRadius: 8.92, ViolationRate: 0.0%
Nodes: 20000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.43, AvgRadius: 8.21, MaxRadius: 8.70, ViolationRate: 0.0%
Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.00, AvgRadius: 8.24, MaxRadius: 8.65, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.82, AvgRadius: 8.33, MaxRadius: 9.22, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 4.12, AvgRadius: 8.26, MaxRadius: 8.54, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 11.44, AvgRadius: 8.30, MaxRadius: 8.52, ViolationRate: 0.0%
